t_us,frame_id,sensor_id,accX,accY,accZ,acc_sum_YZ,magX,magY,magZ
1057318889,845070,0,1.005859375,-0.025390625,0.015625,-0.009765625,0.0,0.0,0.0
1057320139,845071,0,1.00390625,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
1057321390,845072,0,1.00390625,-0.029296875,0.013671875,-0.015625,0.0,0.0,0.0
1057322642,845073,0,1.00390625,-0.029296875,0.013671875,-0.015625,0.0,0.0,23364622090240.0
1057325143,845075,0,1.001953125,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
1057326394,845076,0,0.99609375,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
1057327644,845077,0,0.998046875,-0.033203125,0.01171875,-0.021484375,0.0,0.0,0.0
1057328896,845078,0,1.00390625,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
1057330148,845079,0,1.01171875,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
1057331399,845080,0,1.005859375,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
1057332649,845081,0,1.005859375,-0.02734375,0.015625,-0.01171875,0.0,0.0,0.0
1057333901,845082,0,1.00390625,-0.03125,0.017578125,-0.013671875,0.0,0.0,0.0
1057335151,845083,0,1.005859375,-0.02734375,0.01953125,-0.0078125,0.0,0.0,0.0
1057336401,845084,0,1.0078125,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
1057337653,845085,0,1.00390625,-0.025390625,0.01953125,-0.005859375,0.0,0.0,0.0
1057338903,845086,0,1.00390625,-0.025390625,0.015625,-0.009765625,0.0,0.0,0.0
1057340154,845087,0,1.0078125,-0.025390625,0.021484375,-0.00390625,0.0,0.0,0.0
1057341405,845088,0,1.001953125,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
1057342656,845089,0,1.00390625,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
1057343906,845090,0,1.001953125,-0.025390625,0.015625,-0.009765625,0.0,0.0,0.0
1057345157,845091,0,1.0078125,-0.021484375,0.015625,-0.005859375,0.0,0.0,0.0
1057346408,845092,0,1.00390625,-0.02734375,0.0078125,-0.01953125,0.0,0.0,0.0
1057347659,845093,0,0.998046875,-0.025390625,0.01953125,-0.005859375,0.0,0.0,0.0
1057348911,845094,0,0.998046875,-0.02734375,0.01953125,-0.0078125,0.0,0.0,0.0
1057350162,845095,0,1.001953125,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
1057351414,845096,0,1.005859375,-0.021484375,0.0078125,-0.013671875,0.0,0.0,0.0
1057352664,845097,0,1.0,-0.021484375,0.017578125,-0.00390625,0.0,0.0,0.0
1057353916,845098,0,0.99609375,-0.0234375,0.017578125,-0.005859375,0.0,0.0,0.0
1057355167,845099,0,0.998046875,-0.0234375,0.021484375,-0.001953125,0.0,0.0,0.0
1057356417,845100,0,0.998046875,-0.029296875,0.029296875,0.0,0.0,0.0,0.0
1057357668,845101,0,0.99609375,-0.02734375,0.021484375,-0.005859375,0.0,0.0,0.0
1057358919,845102,0,0.998046875,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
1057360170,845103,0,1.0,-0.025390625,0.01953125,-0.005859375,0.0,0.0,0.0
1057361421,845104,0,1.0078125,-0.02734375,0.015625,-0.01171875,0.0,0.0,0.0
1057362672,845105,0,1.00390625,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
1057363922,845106,0,0.998046875,-0.025390625,0.015625,-0.009765625,0.0,0.0,0.0
1057365173,845107,0,1.001953125,-0.025390625,0.015625,-0.009765625,0.0,0.0,0.0
1057366425,845108,0,1.001953125,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
1057367675,845109,0,1.0,-0.0234375,0.015625,-0.0078125,0.0,0.0,0.0
1057368927,845110,0,0.998046875,-0.02734375,0.01171875,-0.015625,0.0,0.0,0.0
1057370177,845111,0,1.001953125,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
1057371429,845112,0,1.0,-0.03125,0.01953125,-0.01171875,0.0,0.0,0.0
1057372680,845113,0,1.005859375,-0.029296875,0.013671875,-0.015625,0.0,0.0,0.0
1057373930,845114,0,1.00390625,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
1057375180,845115,0,1.005859375,-0.029296875,0.021484375,-0.0078125,0.0,0.0,0.0
1057376431,845116,0,0.998046875,-0.02734375,0.013671875,-0.013671875,0.0,0.0,0.0
1057377682,845117,0,1.01953125,-0.021484375,0.015625,-0.005859375,0.0,0.0,0.0
1057378933,845118,0,1.0,-0.02734375,0.013671875,-0.013671875,0.0,0.0,0.0
1057380184,845119,0,1.009765625,-0.03125,0.01953125,-0.01171875,0.0,0.0,0.0
1057381434,845120,0,1.013671875,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
1057382685,845121,0,1.005859375,-0.029296875,0.009765625,-0.01953125,0.0,0.0,0.0
1057383936,845122,0,1.001953125,-0.03125,0.013671875,-0.017578125,0.0,0.0,0.0
1057385188,845123,0,1.0,-0.029296875,0.013671875,-0.015625,0.0,0.0,0.0
1057386439,845124,0,1.0,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
1057387690,845125,0,1.0078125,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
1057388941,845126,0,1.0078125,-0.02734375,0.013671875,-0.013671875,0.0,0.0,0.0
1057390192,845127,0,1.00390625,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
1057391443,845128,0,1.0,-0.0234375,0.017578125,-0.005859375,0.0,0.0,0.0
1057392695,845129,0,1.009765625,-0.02734375,0.013671875,-0.013671875,0.0,0.0,0.0
1057393945,845130,0,1.005859375,-0.02734375,0.01171875,-0.015625,0.0,0.0,0.0
1057395195,845131,0,1.00390625,-0.025390625,0.01171875,-0.013671875,0.0,0.0,0.0
1057396447,845132,0,1.00390625,-0.025390625,0.017578125,-0.0078125,0.0,0.0,0.0
1057397697,845133,0,1.00390625,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
1057398949,845134,0,0.99609375,-0.025390625,0.013671875,-0.01171875,0.0,0.0,0.0
1057400200,845135,0,1.0078125,-0.02734375,0.01171875,-0.015625,0.0,0.0,0.0
1057401452,845136,0,1.0,-0.025390625,0.01953125,-0.005859375,0.0,0.0,0.0
1057402702,845137,0,1.001953125,-0.025390625,0.01953125,-0.005859375,0.0,0.0,0.0
1057403954,845138,0,1.005859375,-0.033203125,0.005859375,-0.02734375,0.0,0.0,0.0
1057405205,845139,0,1.017578125,-0.029296875,0.005859375,-0.0234375,0.0,0.0,0.0
1057406456,845140,0,1.01171875,-0.021484375,0.017578125,-0.00390625,0.0,0.0,0.0
1057407708,845141,0,1.005859375,-0.029296875,0.021484375,-0.0078125,0.0,0.0,0.0
1057408958,845142,0,1.001953125,-0.025390625,0.025390625,0.0,0.0,0.0,0.0
1057410209,845143,0,1.005859375,-0.02734375,0.01953125,-0.0078125,0.0,0.0,0.0
1057411459,845144,0,1.001953125,-0.025390625,0.013671875,-0.01171875,0.0,0.0,0.0
1057412710,845145,0,1.0,-0.025390625,0.017578125,-0.0078125,0.0,0.0,0.0
1057413961,845146,0,1.005859375,-0.025390625,0.017578125,-0.0078125,0.0,0.0,0.0
1057415212,845147,0,1.00390625,-0.025390625,0.01953125,-0.005859375,0.0,0.0,0.0
1057416462,845148,0,1.001953125,-0.02734375,0.015625,-0.01171875,0.0,0.0,0.0
1057417713,845149,0,1.005859375,-0.025390625,0.021484375,-0.00390625,0.0,0.0,0.0
1057418965,845150,0,1.001953125,-0.0234375,0.01953125,-0.00390625,0.0,0.0,0.0
1057420216,845151,0,1.00390625,-0.029296875,0.013671875,-0.015625,0.0,0.0,0.0
1057421468,845152,0,1.005859375,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
1057422719,845153,0,1.001953125,-0.025390625,0.01953125,-0.005859375,0.0,0.0,0.0
1057423969,845154,0,1.00390625,-0.0234375,0.015625,-0.0078125,0.0,0.0,0.0
1057425221,845155,0,1.001953125,-0.025390625,0.009765625,-0.015625,0.0,0.0,0.0
1057426471,845156,0,1.005859375,-0.029296875,0.013671875,-0.015625,0.0,0.0,0.0
1057427721,845157,0,1.00390625,-0.025390625,0.0234375,-0.001953125,0.0,0.0,0.0
1057428972,845158,0,1.005859375,-0.029296875,0.0234375,-0.005859375,0.0,0.0,0.0
1057430224,845159,0,1.0078125,-0.0234375,0.01171875,-0.01171875,0.0,0.0,0.0
1057431474,845160,0,1.0,-0.02734375,0.009765625,-0.017578125,0.0,0.0,0.0
1057432724,845161,0,1.0078125,-0.033203125,0.009765625,-0.0234375,0.0,0.0,0.0
1057433976,845162,0,1.0,-0.02734375,0.01953125,-0.0078125,0.0,0.0,0.0
1057435226,845163,0,1.0078125,-0.025390625,0.01171875,-0.013671875,0.0,0.0,0.0
1057436476,845164,0,1.005859375,-0.0234375,0.017578125,-0.005859375,0.0,0.0,0.0
