t_us,frame_id,sensor_id,accX,accY,accZ,acc_sum_YZ,magX,magY,magZ
70067415,55835,0,1.001953125,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
70068666,55836,0,1.005859375,-0.033203125,0.021484375,-0.01171875,0.0,0.0,0.0
70069917,55837,0,1.009765625,-0.025390625,0.01953125,-0.005859375,0.0,0.0,0.0
70071167,55838,0,1.009765625,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
70072417,55839,0,1.015625,-0.0234375,0.013671875,-0.009765625,0.0,0.0,0.0
70073669,55840,0,1.001953125,-0.041015625,0.0078125,-0.033203125,0.0,0.0,0.0
70074920,55841,0,0.99609375,-0.0234375,0.015625,-0.0078125,0.0,0.0,0.0
70076171,55842,0,1.00390625,-0.02734375,0.013671875,-0.013671875,0.0,0.0,0.0
70077421,55843,0,0.99609375,-0.025390625,0.025390625,0.0,0.0,0.0,0.0
70078673,55844,0,1.0,-0.033203125,0.015625,-0.017578125,0.0,0.0,0.0
70079923,55845,0,1.0078125,-0.033203125,0.015625,-0.017578125,0.0,0.0,0.0
70081174,55846,0,1.0078125,-0.029296875,0.021484375,-0.0078125,0.0,0.0,0.0
70082425,55847,0,1.009765625,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
70083677,55848,0,1.0,-0.03515625,0.021484375,-0.013671875,0.0,0.0,0.0
70084927,55849,0,1.001953125,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
70086177,55850,0,1.001953125,-0.03125,0.01953125,-0.01171875,0.0,0.0,0.0
70087429,55851,0,0.99609375,-0.03515625,0.021484375,-0.013671875,0.0,0.0,0.0
70088679,55852,0,1.005859375,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
70089931,55853,0,1.00390625,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
70091181,55854,0,1.001953125,-0.029296875,0.013671875,-0.015625,0.0,0.0,0.0
70092431,55855,0,1.001953125,-0.029296875,0.013671875,-0.015625,0.0,0.0,0.0
70093683,55856,0,1.001953125,-0.03515625,0.01953125,-0.015625,0.0,0.0,0.0
70094933,55857,0,1.00390625,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
70096183,55858,0,0.998046875,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
70097434,55859,0,1.009765625,-0.033203125,0.013671875,-0.01953125,0.0,0.0,0.0
70098685,55860,0,1.0,-0.02734375,0.021484375,-0.005859375,0.0,0.0,0.0
70099936,55861,0,0.994140625,-0.02734375,0.0234375,-0.00390625,0.0,0.0,0.0
70101186,55862,0,1.0078125,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
70102437,55863,0,1.009765625,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
70103687,55864,0,1.0078125,-0.033203125,0.02734375,-0.005859375,0.0,0.0,0.0
70104937,55865,0,0.990234375,-0.03125,0.01953125,-0.01171875,0.0,0.0,0.0
70106188,55866,0,1.0,-0.03125,0.01171875,-0.01953125,0.0,0.0,0.0
70107440,55867,0,1.009765625,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
70108690,55868,0,1.00390625,-0.03125,0.017578125,-0.013671875,0.0,0.0,0.0
70109942,55869,0,1.01171875,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
70111193,55870,0,1.0,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
70112445,55871,0,0.998046875,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
70113695,55872,0,0.99609375,-0.033203125,0.009765625,-0.0234375,0.0,0.0,0.0
70114947,55873,0,1.001953125,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
70116198,55874,0,0.998046875,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
70117450,55875,0,1.0,-0.03515625,0.01953125,-0.015625,0.0,0.0,0.0
70118700,55876,0,1.0,-0.03125,0.01171875,-0.01953125,0.0,0.0,0.0
70119952,55877,0,1.00390625,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
70121203,55878,0,1.00390625,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
70122454,55879,0,1.0078125,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
70123705,55880,0,1.005859375,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
70124957,55881,0,1.0078125,-0.033203125,0.01171875,-0.021484375,0.0,0.0,0.0
70126207,55882,0,1.00390625,-0.033203125,0.021484375,-0.01171875,0.0,0.0,0.0
70127459,55883,0,1.001953125,-0.03125,0.025390625,-0.005859375,0.0,0.0,0.0
70128709,55884,0,1.01171875,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
70129959,55885,0,1.009765625,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
70131209,55886,0,0.99609375,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
70132459,55887,0,1.0078125,-0.03515625,0.021484375,-0.013671875,0.0,0.0,0.0
70133711,55888,0,0.99609375,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
70134961,55889,0,1.00390625,-0.03125,0.017578125,-0.013671875,0.0,0.0,0.0
70136213,55890,0,1.00390625,-0.03515625,0.017578125,-0.017578125,0.0,0.0,0.0
70137464,55891,0,1.005859375,-0.03515625,0.017578125,-0.017578125,0.0,0.0,0.0
70138715,55892,0,1.005859375,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
70139966,55893,0,1.00390625,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
70141216,55894,0,1.005859375,-0.03125,0.01171875,-0.01953125,0.0,0.0,0.0
70142467,55895,0,1.00390625,-0.03125,0.013671875,-0.017578125,0.0,0.0,0.0
70143718,55896,0,1.005859375,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
70144968,55897,0,1.0,-0.03125,0.013671875,-0.017578125,0.0,0.0,0.0
70146219,55898,0,1.0,-0.02734375,0.021484375,-0.005859375,0.0,0.0,0.0
70147470,55899,0,1.009765625,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
70148721,55900,0,1.00390625,-0.025390625,0.01953125,-0.005859375,0.0,0.0,0.0
70149971,55901,0,1.00390625,-0.0390625,0.01953125,-0.01953125,0.0,0.0,0.0
70151223,55902,0,0.998046875,-0.03125,0.01953125,-0.01171875,0.0,0.0,0.0
70152473,55903,0,1.015625,-0.03515625,0.01171875,-0.0234375,0.0,0.0,0.0
70153723,55904,0,1.0078125,-0.037109375,0.01171875,-0.025390625,0.0,0.0,0.0
70154975,55905,0,0.998046875,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
70156226,55906,0,1.015625,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
70157476,55907,0,0.994140625,-0.03515625,0.01953125,-0.015625,0.0,0.0,0.0
70158728,55908,0,0.998046875,-0.03515625,0.01953125,-0.015625,0.0,0.0,0.0
70159979,55909,0,1.00390625,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
70161229,55910,0,1.001953125,-0.029296875,0.021484375,-0.0078125,0.0,0.0,0.0
70162481,55911,0,1.001953125,-0.033203125,0.015625,-0.017578125,0.0,0.0,0.0
70163731,55912,0,1.005859375,-0.03125,0.0234375,-0.0078125,0.0,0.0,0.0
70164981,55913,0,0.998046875,-0.02734375,0.01953125,-0.0078125,0.0,0.0,0.0
70166232,55914,0,1.00390625,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
70167483,55915,0,1.00390625,-0.03515625,0.01953125,-0.015625,0.0,0.0,0.0
70168734,55916,0,1.001953125,-0.02734375,0.015625,-0.01171875,0.0,0.0,0.0
70169986,55917,0,1.005859375,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
70171236,55918,0,1.0078125,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
70172486,55919,0,1.0078125,-0.03125,0.017578125,-0.013671875,0.0,0.0,0.0
70173737,55920,0,1.005859375,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
70174987,55921,0,1.0078125,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
