t_us,frame_id,sensor_id,accX,accY,accZ,acc_sum_YZ,magX,magY,magZ
19628778,15513,0,1.005859375,-0.02734375,0.021484375,-0.005859375,0.0,0.0,0.0
19630029,15514,0,0.998046875,-0.03125,0.025390625,-0.005859375,0.0,0.0,0.0
19631280,15515,0,1.00390625,-0.03515625,0.013671875,-0.021484375,0.0,0.0,0.0
19632531,15516,0,1.0078125,-0.03125,0.02734375,-0.00390625,0.0,0.0,0.0
19633783,15517,0,0.998046875,-0.033203125,0.021484375,-0.01171875,0.0,0.0,0.0
19635034,15518,0,1.00390625,-0.02734375,0.021484375,-0.005859375,0.0,0.0,0.0
19636286,15519,0,1.0078125,-0.025390625,0.021484375,-0.00390625,0.0,0.0,0.0
19637537,15520,0,1.009765625,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
19638789,15521,0,1.001953125,-0.033203125,0.013671875,-0.01953125,0.0,0.0,0.0
19640039,15522,0,0.99609375,-0.02734375,0.0234375,-0.00390625,0.0,0.0,0.0
19641289,15523,0,0.9921875,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
19642541,15524,0,1.0078125,-0.03515625,0.02734375,-0.0078125,0.0,0.0,0.0
19643792,15525,0,1.0078125,-0.02734375,0.013671875,-0.013671875,0.0,0.0,0.0
19645044,15526,0,1.005859375,-0.03515625,0.021484375,-0.013671875,0.0,0.0,0.0
19646294,15527,0,1.001953125,-0.029296875,0.0078125,-0.021484375,0.0,0.0,0.0
19647544,15528,0,1.01171875,-0.0234375,0.017578125,-0.005859375,0.0,0.0,0.0
19648795,15529,0,1.0,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
19650045,15530,0,1.0,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
19651295,15531,0,1.0078125,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
19652546,15532,0,1.001953125,-0.03515625,0.021484375,-0.013671875,0.0,0.0,0.0
19653797,15533,0,1.005859375,-0.033203125,0.025390625,-0.0078125,0.0,0.0,0.0
19655048,15534,0,0.9921875,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
19656299,15535,0,0.998046875,-0.02734375,0.025390625,-0.001953125,0.0,0.0,0.0
19657550,15536,0,1.0,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
19658800,15537,0,1.0078125,-0.029296875,0.0234375,-0.005859375,0.0,0.0,0.0
19660052,15538,0,1.001953125,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
19661303,15539,0,1.0078125,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
19662554,15540,0,0.998046875,-0.033203125,0.01171875,-0.021484375,0.0,0.0,0.0
19663805,15541,0,1.00390625,-0.033203125,0.0234375,-0.009765625,0.0,0.0,0.0
19665057,15542,0,1.00390625,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
19666308,15543,0,1.00390625,-0.033203125,0.013671875,-0.01953125,0.0,0.0,0.0
19667560,15544,0,1.00390625,-0.033203125,0.01171875,-0.021484375,0.0,0.0,0.0
19668811,15545,0,1.0078125,-0.03125,0.025390625,-0.005859375,0.0,0.0,0.0
19670063,15546,0,1.013671875,-0.033203125,0.021484375,-0.01171875,0.0,0.0,0.0
19671314,15547,0,1.0078125,-0.03515625,0.0234375,-0.01171875,0.0,0.0,0.0
19672565,15548,0,1.00390625,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
19673816,15549,0,1.0,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
19675066,15550,0,1.00390625,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
19676318,15551,0,1.005859375,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
19677569,15552,0,1.0,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
19678819,15553,0,1.0,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
19680070,15554,0,0.998046875,-0.03515625,0.021484375,-0.013671875,0.0,0.0,0.0
19681321,15555,0,1.001953125,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
19682572,15556,0,1.0,-0.029296875,0.021484375,-0.0078125,0.0,0.0,0.0
19683823,15557,0,1.0,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
19685074,15558,0,1.00390625,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
19686325,15559,0,1.0078125,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
19687575,15560,0,1.005859375,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
19688825,15561,0,1.005859375,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
19690076,15562,0,1.00390625,-0.02734375,0.02734375,0.0,0.0,0.0,0.0
19691326,15563,0,1.0,-0.025390625,0.02734375,0.001953125,0.0,0.0,0.0
19692577,15564,0,1.005859375,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
19693828,15565,0,1.0,-0.029296875,0.02734375,-0.001953125,0.0,0.0,0.0
19695078,15566,0,1.0078125,-0.029296875,0.021484375,-0.0078125,0.0,0.0,0.0
19696329,15567,0,1.00390625,-0.029296875,0.01171875,-0.017578125,0.0,0.0,0.0
19697581,15568,0,1.001953125,-0.03125,0.017578125,-0.013671875,0.0,0.0,0.0
19698833,15569,0,1.015625,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
19700083,15570,0,0.99609375,-0.029296875,0.01171875,-0.017578125,0.0,0.0,0.0
19701333,15571,0,1.0078125,-0.03125,0.009765625,-0.021484375,0.0,0.0,0.0
19702584,15572,0,0.99609375,-0.03125,0.0234375,-0.0078125,0.0,0.0,0.0
19703835,15573,0,1.0,-0.029296875,0.013671875,-0.015625,0.0,0.0,0.0
19705085,15574,0,1.005859375,-0.033203125,0.0234375,-0.009765625,0.0,0.0,0.0
19706336,15575,0,1.001953125,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
19707587,15576,0,1.00390625,-0.02734375,0.01953125,-0.0078125,0.0,0.0,0.0
19708838,15577,0,1.005859375,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
19710090,15578,0,1.001953125,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
19711341,15579,0,1.00390625,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
19712592,15580,0,1.001953125,-0.02734375,0.021484375,-0.005859375,0.0,0.0,0.0
19713844,15581,0,1.001953125,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
19715095,15582,0,1.001953125,-0.02734375,0.01953125,-0.0078125,0.0,0.0,0.0
19716346,15583,0,1.009765625,-0.02734375,0.013671875,-0.013671875,0.0,0.0,0.0
19717597,15584,0,1.00390625,-0.03125,0.025390625,-0.005859375,0.0,0.0,0.0
19718849,15585,0,1.01171875,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
19720099,15586,0,1.00390625,-0.033203125,0.013671875,-0.01953125,0.0,0.0,0.0
19721351,15587,0,0.99609375,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
19722602,15588,0,1.0,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
19723854,15589,0,0.998046875,-0.029296875,0.017578125,-0.01171875,0.0,0.0,0.0
19725104,15590,0,1.0,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
19726354,15591,0,1.00390625,-0.029296875,0.0234375,-0.005859375,0.0,0.0,0.0
19727605,15592,0,1.005859375,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
19728855,15593,0,1.00390625,-0.03125,0.01953125,-0.01171875,0.0,0.0,0.0
19730107,15594,0,1.0,-0.02734375,0.013671875,-0.013671875,0.0,0.0,0.0
19731358,15595,0,1.001953125,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
19732609,15596,0,1.001953125,-0.03515625,0.021484375,-0.013671875,0.0,0.0,0.0
19733859,15597,0,1.00390625,-0.029296875,0.021484375,-0.0078125,0.0,0.0,0.0
19735111,15598,0,1.005859375,-0.02734375,0.021484375,-0.005859375,0.0,0.0,0.0
19736362,15599,0,1.001953125,-0.03515625,0.021484375,-0.013671875,0.0,0.0,0.0
19737613,15600,0,1.005859375,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
19738865,15601,0,1.0,-0.033203125,0.0234375,-0.009765625,0.0,0.0,0.0
19740115,15602,0,1.00390625,-0.033203125,0.015625,-0.017578125,0.0,0.0,0.0
19741365,15603,0,1.00390625,-0.02734375,0.021484375,-0.005859375,0.0,0.0,0.0
19742617,15604,0,1.00390625,-0.03125,0.01953125,-0.01171875,0.0,0.0,0.0
19743867,15605,0,1.005859375,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
19745118,15606,0,1.00390625,-0.03515625,0.013671875,-0.021484375,0.0,0.0,0.0
19746369,15607,0,1.009765625,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
19747620,15608,0,1.009765625,-0.03125,0.01953125,-0.01171875,0.0,0.0,0.0
19748871,15609,0,1.00390625,-0.033203125,0.021484375,-0.01171875,0.0,0.0,0.0
19750123,15610,0,1.00390625,-0.025390625,0.021484375,-0.00390625,0.0,0.0,0.0
19751374,15611,0,1.0,-0.029296875,0.025390625,-0.00390625,0.0,0.0,0.0
19752624,15612,0,0.99609375,-0.03515625,0.029296875,-0.005859375,0.0,0.0,0.0
19753875,15613,0,1.001953125,-0.02734375,0.017578125,-0.009765625,0.0,0.0,0.0
19755125,15614,0,1.001953125,-0.025390625,0.021484375,-0.00390625,0.0,0.0,0.0
19756375,15615,0,1.001953125,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
19757626,15616,0,1.005859375,-0.033203125,0.0234375,-0.009765625,0.0,0.0,0.0
19758877,15617,0,0.99609375,-0.029296875,0.021484375,-0.0078125,0.0,0.0,0.0
19760129,15618,0,1.0,-0.029296875,0.021484375,-0.0078125,0.0,0.0,0.0
19761380,15619,0,1.0078125,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
19762630,15620,0,1.001953125,-0.02734375,0.025390625,-0.001953125,0.0,0.0,0.0
19763881,15621,0,1.0,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
19765133,15622,0,1.001953125,-0.033203125,0.021484375,-0.01171875,0.0,0.0,0.0
19766384,15623,0,1.0,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
19767634,15624,0,1.009765625,-0.025390625,0.017578125,-0.0078125,0.0,0.0,0.0
19768886,15625,0,1.0,-0.029296875,0.013671875,-0.015625,0.0,0.0,0.0
19770136,15626,0,1.005859375,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
19771386,15627,0,1.00390625,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
19772638,15628,0,1.001953125,-0.029296875,0.01953125,-0.009765625,0.0,0.0,0.0
19773888,15629,0,1.0,-0.03125,0.009765625,-0.021484375,0.0,0.0,0.0
19775139,15630,0,1.0078125,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
19776391,15631,0,1.013671875,-0.033203125,0.013671875,-0.01953125,0.0,0.0,0.0
19777641,15632,0,1.001953125,-0.02734375,0.01953125,-0.0078125,0.0,0.0,0.0
19778892,15633,0,1.009765625,-0.029296875,0.021484375,-0.0078125,0.0,0.0,0.0
19780142,15634,0,1.00390625,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
19781393,15635,0,0.994140625,-0.029296875,0.0234375,-0.005859375,0.0,0.0,0.0
19782645,15636,0,1.0,-0.03125,0.017578125,-0.013671875,0.0,0.0,0.0
19783895,15637,0,1.00390625,-0.02734375,0.01171875,-0.015625,0.0,0.0,0.0
19785147,15638,0,1.00390625,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
19786397,15639,0,1.001953125,-0.025390625,0.021484375,-0.00390625,0.0,0.0,0.0
19787649,15640,0,1.00390625,-0.033203125,0.021484375,-0.01171875,0.0,0.0,0.0
19788899,15641,0,0.99609375,-0.029296875,0.015625,-0.013671875,0.0,0.0,0.0
19790149,15642,0,1.00390625,-0.03125,0.01953125,-0.01171875,0.0,0.0,0.0
19791399,15643,0,1.00390625,-0.03125,0.021484375,-0.009765625,0.0,0.0,0.0
