t_us,frame_id,sensor_id,accX,accY,accZ,acc_sum_YZ,magX,magY,magZ
1712619753,1368907,0,1.005859375,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712621003,1368908,0,1.00390625,-0.00390625,0.00390625,0.0,0.0,0.0,0.0
1712622254,1368909,0,1.005859375,-0.001953125,0.0,-0.001953125,0.0,0.0,0.0
1712623505,1368910,0,1.0,-0.005859375,-0.00390625,-0.009765625,0.0,0.0,0.0
1712624756,1368911,0,1.001953125,-0.005859375,-0.001953125,-0.0078125,0.0,0.0,0.0
1712626008,1368912,0,1.00390625,0.001953125,0.005859375,0.0078125,0.0,0.0,0.0
1712627258,1368913,0,1.001953125,-0.00390625,-0.001953125,-0.005859375,0.0,0.0,0.0
1712628509,1368914,0,0.994140625,-0.00390625,0.009765625,0.005859375,0.0,0.0,0.0
1712629759,1368915,0,1.005859375,-0.0078125,-0.001953125,-0.009765625,0.0,0.0,0.0
1712631010,1368916,0,0.998046875,0.0,0.005859375,0.005859375,0.0,0.0,0.0
1712632261,1368917,0,1.0078125,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1712633513,1368918,0,0.998046875,0.0,-0.00390625,-0.00390625,0.0,0.0,0.0
1712634764,1368919,0,1.005859375,-0.00390625,0.009765625,0.005859375,0.0,0.0,0.0
1712636015,1368920,0,0.99609375,-0.001953125,0.01171875,0.009765625,0.0,0.0,0.0
1712637270,1368921,0,0.998046875,0.001953125,-0.001953125,0.0,0.0,0.0,0.0
1712638521,1368922,0,1.001953125,0.0,0.00390625,0.00390625,0.0,0.0,0.0
1712639772,1368923,0,0.998046875,0.0,0.005859375,0.005859375,0.0,0.0,0.0
1712641024,1368924,0,1.001953125,-0.00390625,0.001953125,-0.001953125,0.0,0.0,0.0
1712642275,1368925,0,1.0078125,-0.00390625,0.001953125,-0.001953125,0.0,0.0,0.0
1712643527,1368926,0,1.005859375,-0.00390625,0.00390625,0.0,0.0,0.0,0.0
1712644778,1368927,0,1.0,0.001953125,-0.001953125,0.0,0.0,0.0,0.0
1712646028,1368928,0,1.0078125,-0.001953125,0.0,-0.001953125,0.0,0.0,0.0
1712647279,1368929,0,1.001953125,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1712648530,1368930,0,1.00390625,-0.00390625,0.00390625,0.0,0.0,0.0,0.0
1712649782,1368931,0,1.0078125,-0.001953125,-0.001953125,-0.00390625,0.0,0.0,0.0
1712651032,1368932,0,1.0078125,0.001953125,0.001953125,0.00390625,0.0,0.0,0.0
1712652282,1368933,0,1.0,-0.001953125,0.005859375,0.00390625,0.0,0.0,0.0
1712653532,1368934,0,1.001953125,0.00390625,0.0,0.00390625,0.0,0.0,0.0
1712654783,1368935,0,1.005859375,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1712656034,1368936,0,1.00390625,-0.005859375,-0.00390625,-0.009765625,0.0,0.0,0.0
1712657285,1368937,0,1.005859375,0.0,0.00390625,0.00390625,0.0,0.0,0.0
1712658537,1368938,0,1.015625,0.001953125,0.001953125,0.00390625,0.0,0.0,0.0
1712659789,1368939,0,1.009765625,-0.001953125,-0.001953125,-0.00390625,0.0,0.0,0.0
1712661039,1368940,0,0.998046875,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712662290,1368941,0,1.0,-0.001953125,-0.001953125,-0.00390625,0.0,0.0,0.0
1712663541,1368942,0,1.0,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1712664792,1368943,0,1.0,0.0,-0.001953125,-0.001953125,0.0,0.0,0.0
1712666042,1368944,0,0.998046875,-0.005859375,0.001953125,-0.00390625,0.0,0.0,0.0
1712667294,1368945,0,1.0078125,0.0,0.00390625,0.00390625,0.0,0.0,0.0
1712668545,1368946,0,1.005859375,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1712669795,1368947,0,1.005859375,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712671047,1368948,0,1.0078125,-0.00390625,0.0078125,0.00390625,0.0,0.0,0.0
1712672298,1368949,0,1.001953125,0.0,-0.001953125,-0.001953125,0.0,0.0,0.0
1712673549,1368950,0,1.001953125,-0.00390625,0.005859375,0.001953125,0.0,0.0,0.0
1712674800,1368951,0,1.00390625,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712676050,1368952,0,1.0078125,-0.00390625,0.00390625,0.0,0.0,0.0,0.0
1712677301,1368953,0,1.005859375,-0.00390625,0.00390625,0.0,0.0,0.0,0.0
1712678551,1368954,0,1.0,-0.00390625,0.001953125,-0.001953125,0.0,0.0,0.0
1712679801,1368955,0,1.009765625,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1712681053,1368956,0,1.001953125,-0.001953125,0.0078125,0.005859375,0.0,0.0,0.0
1712682304,1368957,0,1.001953125,-0.0078125,0.005859375,-0.001953125,0.0,0.0,0.0
1712683554,1368958,0,1.0078125,-0.00390625,0.005859375,0.001953125,0.0,0.0,0.0
1712684805,1368959,0,1.001953125,-0.0078125,0.0,-0.0078125,0.0,0.0,0.0
1712686055,1368960,0,1.005859375,0.0,-0.001953125,-0.001953125,0.0,0.0,0.0
1712687306,1368961,0,1.01171875,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1712688556,1368962,0,1.0,0.001953125,0.001953125,0.00390625,0.0,0.0,0.0
1712689807,1368963,0,1.0078125,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1712691059,1368964,0,1.0078125,-0.001953125,0.0078125,0.005859375,0.0,0.0,0.0
1712692310,1368965,0,1.005859375,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1712693562,1368966,0,1.0078125,-0.001953125,0.0,-0.001953125,0.0,0.0,0.0
1712694812,1368967,0,1.00390625,-0.00390625,0.00390625,0.0,0.0,0.0,0.0
1712696064,1368968,0,1.001953125,-0.0078125,-0.001953125,-0.009765625,0.0,0.0,0.0
1712697314,1368969,0,1.001953125,-0.00390625,0.0,-0.00390625,0.0,0.0,0.0
1712698565,1368970,0,1.0,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1712699816,1368971,0,1.009765625,-0.00390625,-0.001953125,-0.005859375,0.0,0.0,0.0
1712701066,1368972,0,1.00390625,-0.00390625,-0.001953125,-0.005859375,0.0,0.0,0.0
1712702317,1368973,0,1.0078125,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1712703569,1368974,0,1.00390625,-0.001953125,-0.00390625,-0.005859375,0.0,0.0,0.0
1712704819,1368975,0,1.0078125,0.0,-0.00390625,-0.00390625,0.0,0.0,0.0
1712706070,1368976,0,1.0078125,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1712707321,1368977,0,1.009765625,0.0078125,-0.001953125,0.005859375,0.0,0.0,0.0
1712708571,1368978,0,1.001953125,-0.00390625,0.005859375,0.001953125,0.0,0.0,0.0
1712709822,1368979,0,1.0078125,-0.001953125,0.005859375,0.00390625,0.0,0.0,0.0
1712711074,1368980,0,1.009765625,0.001953125,0.00390625,0.005859375,0.0,0.0,0.0
1712712324,1368981,0,1.015625,-0.001953125,0.01171875,0.009765625,0.0,0.0,0.0
1712713575,1368982,0,1.001953125,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712714827,1368983,0,1.00390625,0.00390625,0.001953125,0.005859375,0.0,0.0,0.0
1712716077,1368984,0,1.0078125,0.0,0.0078125,0.0078125,0.0,0.0,0.0
1712717328,1368985,0,1.005859375,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1712718580,1368986,0,1.0,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1712719832,1368987,0,0.998046875,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1712721082,1368988,0,0.998046875,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712722333,1368989,0,1.0,-0.005859375,0.00390625,-0.001953125,0.0,0.0,0.0
1712723585,1368990,0,1.001953125,0.0,0.0,0.0,0.0,0.0,0.0
1712724835,1368991,0,1.001953125,-0.001953125,-0.001953125,-0.00390625,0.0,0.0,0.0
1712726086,1368992,0,1.00390625,-0.001953125,-0.001953125,-0.00390625,0.0,0.0,0.0
1712727338,1368993,0,1.00390625,-0.00390625,0.001953125,-0.001953125,0.0,0.0,0.0
1712728589,1368994,0,1.0078125,-0.001953125,0.0,-0.001953125,0.0,0.0,0.0
1712729840,1368995,0,1.01171875,0.0,0.0,0.0,0.0,0.0,0.0
1712731092,1368996,0,1.0078125,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712732343,1368997,0,1.0,0.0,0.0078125,0.0078125,0.0,0.0,0.0
1712733594,1368998,0,1.00390625,0.0,-0.005859375,-0.005859375,0.0,0.0,0.0
1712734845,1368999,0,1.0078125,0.0,0.005859375,0.005859375,0.0,0.0,0.0
1712736096,1369000,0,1.001953125,0.0,0.005859375,0.005859375,0.0,0.0,0.0
1712737346,1369001,0,1.00390625,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712738598,1369002,0,0.998046875,-0.005859375,0.0,-0.005859375,0.0,0.0,0.0
1712739849,1369003,0,0.998046875,-0.009765625,0.0,-0.009765625,0.0,0.0,0.0
1712741099,1369004,0,1.015625,-0.001953125,-0.001953125,-0.00390625,0.0,0.0,0.0
1712742350,1369005,0,1.001953125,0.001953125,-0.0078125,-0.005859375,0.0,0.0,0.0
1712743601,1369006,0,1.00390625,0.001953125,0.001953125,0.00390625,0.0,0.0,0.0
1712744852,1369007,0,1.0,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1712746103,1369008,0,1.0078125,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1712747354,1369009,0,1.0078125,0.001953125,0.001953125,0.00390625,0.0,0.0,0.0
1712748605,1369010,0,1.0,-0.001953125,0.005859375,0.00390625,0.0,0.0,0.0
1712749855,1369011,0,1.001953125,-0.00390625,0.00390625,0.0,0.0,0.0,0.0
1712751107,1369012,0,1.005859375,-0.00390625,0.005859375,0.001953125,0.0,0.0,0.0
1712752357,1369013,0,1.005859375,-0.001953125,0.0078125,0.005859375,0.0,0.0,0.0
1712753607,1369014,0,1.005859375,-0.001953125,0.013671875,0.01171875,0.0,0.0,0.0
1712754859,1369015,0,1.001953125,-0.00390625,0.005859375,0.001953125,0.0,0.0,0.0
1712756109,1369016,0,1.0,-0.005859375,0.00390625,-0.001953125,0.0,0.0,0.0
1712757361,1369017,0,1.0078125,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712758611,1369018,0,1.0078125,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712759861,1369019,0,1.00390625,0.001953125,0.001953125,0.00390625,0.0,0.0,0.0
1712761113,1369020,0,1.005859375,0.0,0.005859375,0.005859375,0.0,0.0,0.0
1712762364,1369021,0,1.0,-0.00390625,0.00390625,0.0,0.0,0.0,0.0
1712763616,1369022,0,1.001953125,-0.00390625,0.0,-0.00390625,0.0,0.0,0.0
1712764866,1369023,0,1.005859375,-0.00390625,0.001953125,-0.001953125,0.0,0.0,0.0
1712766118,1369024,0,1.0,-0.001953125,0.005859375,0.00390625,0.0,0.0,0.0
1712767368,1369025,0,1.001953125,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1712768619,1369026,0,1.001953125,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1712769869,1369027,0,1.0,-0.00390625,0.00390625,0.0,0.0,0.0,0.0
