t_us,frame_id,sensor_id,accX,accY,accZ,acc_sum_YZ,magX,magY,magZ
1731523695,1384019,0,0.99609375,-0.00390625,0.0078125,0.00390625,0.0,0.0,0.0
1731524946,1384020,0,1.001953125,-0.001953125,0.005859375,0.00390625,0.0,0.0,0.0
1731526197,1384021,0,1.015625,-0.005859375,0.001953125,-0.00390625,0.0,0.0,0.0
1731527448,1384022,0,0.998046875,-0.00390625,0.001953125,-0.001953125,0.0,0.0,0.0
1731528700,1384023,0,1.0,-0.005859375,0.0,-0.005859375,0.0,0.0,0.0
1731529950,1384024,0,1.0,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1731531200,1384025,0,1.001953125,0.0,0.013671875,0.013671875,0.0,0.0,0.0
1731532451,1384026,0,1.0,-0.001953125,0.005859375,0.00390625,0.0,0.0,0.0
1731533702,1384027,0,1.001953125,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1731534954,1384028,0,1.005859375,-0.0078125,0.0078125,0.0,0.0,0.0,0.0
1731536204,1384029,0,1.005859375,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1731537455,1384030,0,1.005859375,-0.00390625,0.009765625,0.005859375,0.0,0.0,0.0
1731538707,1384031,0,1.0078125,-0.001953125,0.0078125,0.005859375,0.0,0.0,0.0
1731539957,1384032,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1731541207,1384033,0,1.0,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1731542459,1384034,0,1.001953125,-0.00390625,0.0,-0.00390625,0.0,0.0,0.0
1731543709,1384035,0,1.0078125,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1731544960,1384036,0,1.005859375,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1731546210,1384037,0,1.009765625,-0.00390625,0.00390625,0.0,0.0,0.0,0.0
1731547461,1384038,0,1.005859375,-0.001953125,-0.005859375,-0.0078125,0.0,0.0,0.0
1731548712,1384039,0,1.001953125,0.0,-0.005859375,-0.005859375,0.0,0.0,0.0
1731549962,1384040,0,1.001953125,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1731551212,1384041,0,1.015625,0.0,0.00390625,0.00390625,0.0,0.0,0.0
1731552463,1384042,0,1.005859375,-0.001953125,0.0078125,0.005859375,0.0,0.0,0.0
1731553713,1384043,0,1.009765625,-0.00390625,0.001953125,-0.001953125,0.0,0.0,0.0
1731554965,1384044,0,1.001953125,-0.001953125,0.005859375,0.00390625,0.0,0.0,0.0
1731556216,1384045,0,1.0,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1731557468,1384046,0,1.005859375,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1731558718,1384047,0,1.001953125,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1731559970,1384048,0,1.001953125,-0.00390625,0.0,-0.00390625,0.0,0.0,0.0
1731561221,1384049,0,1.005859375,0.0,0.001953125,0.001953125,0.0,0.0,0.0
1731562471,1384050,0,1.005859375,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1731563722,1384051,0,1.00390625,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
1731564973,1384052,0,1.00390625,-0.001953125,0.001953125,0.0,0.0,0.0,0.0
1731566225,1384053,0,1.00390625,-0.001953125,0.00390625,0.001953125,0.0,0.0,0.0
