t_us,frame_id,sensor_id,accX,accY,accZ,acc_sum_YZ,magX,magY,magZ
1139185639,910543,0,1.00390625,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1139186889,910544,0,1.00390625,-0.04296875,0.01953125,-0.0234375,0.0,0.0,0.0
1139188140,910545,0,1.005859375,-0.0390625,0.017578125,-0.021484375,0.0,0.0,0.0
1139189392,910546,0,1.00390625,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1139190642,910547,0,1.005859375,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1139191894,910548,0,1.00390625,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1139193145,910549,0,1.005859375,-0.0390625,0.01171875,-0.02734375,0.0,0.0,0.0
1139194396,910550,0,1.013671875,-0.041015625,0.017578125,-0.0234375,0.0,0.0,0.0
1139195647,910551,0,1.0,-0.033203125,0.017578125,-0.015625,0.0,0.0,0.0
1139196899,910552,0,0.99609375,-0.037109375,0.021484375,-0.015625,0.0,0.0,0.0
1139198150,910553,0,0.99609375,-0.037109375,0.021484375,-0.015625,0.0,0.0,0.0
1139199400,910554,0,1.001953125,-0.033203125,0.01171875,-0.021484375,0.0,0.0,0.0
1139200652,910555,0,1.005859375,-0.033203125,0.013671875,-0.01953125,0.0,0.0,0.0
1139201902,910556,0,0.998046875,-0.0390625,0.01953125,-0.01953125,0.0,0.0,0.0
1139203152,910557,0,1.005859375,-0.037109375,0.017578125,-0.01953125,0.0,0.0,0.0
1139204402,910558,0,0.998046875,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
1139205653,910559,0,1.00390625,-0.037109375,0.013671875,-0.0234375,0.0,0.0,0.0
1139206904,910560,0,1.00390625,-0.03515625,0.01171875,-0.0234375,0.0,0.0,0.0
1139208154,910561,0,1.001953125,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1139209406,910562,0,1.00390625,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1139210657,910563,0,0.998046875,-0.037109375,0.01171875,-0.025390625,0.0,0.0,0.0
1139211907,910564,0,1.005859375,-0.041015625,0.01171875,-0.029296875,0.0,0.0,0.0
1139213158,910565,0,0.99609375,-0.041015625,0.015625,-0.025390625,0.0,0.0,0.0
1139214408,910566,0,1.009765625,-0.03125,0.01171875,-0.01953125,0.0,0.0,0.0
1139215659,910567,0,1.00390625,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1139216910,910568,0,1.005859375,-0.0390625,0.015625,-0.0234375,0.0,0.0,0.0
1139218160,910569,0,1.005859375,-0.03515625,0.017578125,-0.017578125,0.0,0.0,0.0
1139219410,910570,0,1.00390625,-0.0390625,0.017578125,-0.021484375,0.0,0.0,0.0
1139220662,910571,0,1.001953125,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1139221912,910572,0,1.0078125,-0.033203125,0.021484375,-0.01171875,0.0,0.0,0.0
1139223163,910573,0,1.00390625,-0.0390625,0.015625,-0.0234375,0.0,0.0,0.0
1139224413,910574,0,1.001953125,-0.037109375,0.01171875,-0.025390625,0.0,0.0,0.0
1139225664,910575,0,1.005859375,-0.0390625,0.013671875,-0.025390625,0.0,0.0,0.0
1139226915,910576,0,0.990234375,-0.03515625,0.009765625,-0.025390625,0.0,0.0,0.0
1139228167,910577,0,1.005859375,-0.033203125,0.01171875,-0.021484375,0.0,0.0,0.0
1139229417,910578,0,1.001953125,-0.0390625,0.013671875,-0.025390625,0.0,0.0,0.0
1139230668,910579,0,0.99609375,-0.041015625,0.00390625,-0.037109375,0.0,0.0,0.0
1139231920,910580,0,1.001953125,-0.037109375,0.009765625,-0.02734375,0.0,0.0,0.0
1139233171,910581,0,1.00390625,-0.037109375,0.01953125,-0.017578125,0.0,0.0,0.0
1139234422,910582,0,1.009765625,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1139235674,910583,0,1.001953125,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1139236924,910584,0,1.0,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
1139238175,910585,0,1.0,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
1139239426,910586,0,1.005859375,-0.033203125,0.013671875,-0.01953125,0.0,0.0,0.0
1139240677,910587,0,1.001953125,-0.037109375,0.01953125,-0.017578125,0.0,0.0,0.0
1139241928,910588,0,1.00390625,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1139243179,910589,0,1.005859375,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1139244431,910590,0,1.005859375,-0.0390625,0.015625,-0.0234375,0.0,0.0,0.0
1139245681,910591,0,1.001953125,-0.03125,0.017578125,-0.013671875,0.0,0.0,0.0
1139246932,910592,0,1.005859375,-0.03515625,0.01953125,-0.015625,0.0,0.0,0.0
1139248182,910593,0,1.001953125,-0.029296875,0.0078125,-0.021484375,0.0,0.0,0.0
1139249432,910594,0,1.001953125,-0.03125,0.009765625,-0.021484375,0.0,0.0,0.0
1139250684,910595,0,0.998046875,-0.041015625,0.017578125,-0.0234375,0.0,0.0,0.0
1139251934,910596,0,1.0078125,-0.041015625,0.015625,-0.025390625,0.0,0.0,0.0
1139253185,910597,0,1.0,-0.037109375,0.009765625,-0.02734375,0.0,0.0,0.0
1139254436,910598,0,1.01171875,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1139255687,910599,0,1.005859375,-0.033203125,0.0078125,-0.025390625,0.0,0.0,0.0
1139256937,910600,0,1.0,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1139258187,910601,0,1.00390625,-0.037109375,0.01171875,-0.025390625,0.0,0.0,0.0
1139259439,910602,0,1.001953125,-0.03515625,0.013671875,-0.021484375,0.0,0.0,0.0
1139260690,910603,0,1.00390625,-0.03515625,0.017578125,-0.017578125,0.0,0.0,0.0
1139261940,910604,0,1.005859375,-0.03515625,0.005859375,-0.029296875,0.0,0.0,0.0
1139263192,910605,0,1.0,-0.03515625,0.013671875,-0.021484375,0.0,0.0,0.0
1139264443,910606,0,1.005859375,-0.03515625,0.013671875,-0.021484375,0.0,0.0,0.0
1139265694,910607,0,1.00390625,-0.0390625,0.017578125,-0.021484375,0.0,0.0,0.0
1139266944,910608,0,1.0,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
1139268194,910609,0,1.00390625,-0.037109375,0.01953125,-0.017578125,0.0,0.0,0.0
1139269445,910610,0,1.005859375,-0.03515625,0.009765625,-0.025390625,0.0,0.0,0.0
1139270697,910611,0,1.00390625,-0.033203125,0.01953125,-0.013671875,0.0,0.0,0.0
1139271947,910612,0,1.0078125,-0.037109375,0.01953125,-0.017578125,0.0,0.0,0.0
1139273199,910613,0,1.0078125,-0.037109375,0.013671875,-0.0234375,0.0,0.0,0.0
1139274449,910614,0,1.005859375,-0.03515625,0.009765625,-0.025390625,0.0,0.0,0.0
1139275701,910615,0,1.0,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1139276951,910616,0,1.01171875,-0.0390625,0.01171875,-0.02734375,0.0,0.0,0.0
1139278202,910617,0,0.994140625,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1139279454,910618,0,1.005859375,-0.037109375,0.0078125,-0.029296875,0.0,0.0,0.0
1139280704,910619,0,1.01171875,-0.0390625,0.01171875,-0.02734375,0.0,0.0,0.0
1139281955,910620,0,0.998046875,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
